Latin Name,Common Name,Taxon_groug,Obs_Abunda,Grid_ref,Event_Loca,Sample_Loc,Sample_Dat,Sample_Yea,Sample_Rec,Obs_Determ,Determinat,Determiner,Determin_1,Obs_Record,Sample_Com,Survey_Nam,Obs_Commen,Specimen_N,Recommen_2,Obs_Key,All_Design,lat (generated automaticaly using geodesy-test3.html from grid ref),lat (generated automaticaly using geodesy-test3.html from grid ref)
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY5255,Hayton Moss,Hayton Moss,29/05/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",29/05/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3R6,,54.88742764,-2.749788355
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,20/05/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",20/05/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3R3,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY5151,Cumwhitton Moss,Cumwhitton Moss,20/05/1918,1918,Unknown,Unknown,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",20/05/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3T9,,54.85138823,-2.764694754
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,17/05/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",17/05/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3R5,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,10/05/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",10/05/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3R4,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,09/05/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",09/05/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3R0,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,08/05/1918,1918,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",08/05/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3R1,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY55H,Tarn Lodge,Tarn Lodge,08/05/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",08/05/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3TG,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,NY45S,Wetheral,Wetheral,24/09/1917,1917,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",24/09/1917,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3R7,,54.88237521,-2.835423904
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,3 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,31/08/1917,1917,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",31/08/1917,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3QV,,54.88298247,-2.741912122
